,League,Avg_G_Scored_Home_Teams_HT,Avg_G_Conceded_Home_Teams_HT,Avg_G_Scored_Away_Teams_HT,Avg_G_Conceded_Away_Teams_HT,Win_Home_Teams_HT_perc,Draw_HT_perc,Win_Away_Teams_HT_perc,Avg_G_Scored_Home_Teams,Avg_G_Conceded_Home_Teams,Avg_G_Scored_Away_Teams,Avg_G_Conceded_Away_Teams,Win_Home_Teams_perc,Draw_perc,Win_Away_Teams_perc
24,Egypt Egyptian Premier League,0.53,0.49,0.49,0.53,27.11,48.55,24.35,1.21,1.09,1.09,1.21,35.99,33.08,30.93
25,England Championship,0.63,0.48,0.48,0.63,33.13,42.71,24.16,1.41,1.12,1.12,1.41,43.19,26.4,30.42
26,England EFL League One,0.64,0.55,0.55,0.64,32.01,40.86,27.13,1.43,1.19,1.19,1.43,43.04,25.52,31.44
27,England EFL League Two,0.63,0.52,0.52,0.63,32.52,42.28,25.2,1.38,1.15,1.15,1.38,42.06,27.69,30.25
28,England Premier League,0.7,0.58,0.58,0.7,34.34,39.08,26.58,1.55,1.3,1.3,1.55,44.25,22.84,32.91
29,Estonia Meistriliiga,0.71,0.66,0.66,0.71,32.5,38.85,28.65,1.56,1.43,1.43,1.56,41.35,20.0,38.65
30,Europe UEFA Champions League,0.74,0.55,0.55,0.74,36.17,39.27,24.57,1.64,1.29,1.29,1.64,46.33,21.01,32.66
31,FYR Macedonia First Football League,0.56,0.34,0.34,0.56,31.48,51.65,16.86,1.38,1.0,1.0,1.38,47.07,26.89,26.04
32,Faroe Islands Faroe Islands Premier League,0.78,0.66,0.66,0.78,35.36,36.24,28.4,1.79,1.51,1.51,1.79,46.75,16.42,36.83
33,Finland Veikkausliiga,0.63,0.51,0.51,0.63,33.11,40.84,26.05,1.43,1.25,1.25,1.43,41.85,24.12,34.03
34,France Ligue 1,0.67,0.55,0.55,0.67,33.64,40.42,25.94,1.5,1.24,1.24,1.5,42.9,25.36,31.74
35,France Ligue 2,0.58,0.47,0.47,0.58,31.45,45.65,22.9,1.33,1.08,1.08,1.33,42.77,27.79,29.44
36,France National,0.63,0.46,0.46,0.63,33.95,44.12,21.93,1.35,1.06,1.06,1.35,41.88,30.65,27.46
37,Georgia Erovnuli Liga,0.58,0.44,0.44,0.58,29.13,50.14,20.73,1.4,1.09,1.09,1.4,45.38,26.05,28.57
38,Germany 2. Bundesliga,0.7,0.58,0.58,0.7,34.49,40.18,25.33,1.61,1.33,1.33,1.61,42.98,26.92,30.1
39,Germany 3. Liga,0.69,0.58,0.58,0.69,33.18,40.95,25.87,1.52,1.3,1.3,1.52,41.81,26.64,31.55
